PC1,PC2,Predicted_State,Actual_State
-0.1675645941453697,-2.2427115975406022,0,0
-0.239891603956561,-1.1843565383230112,0,0
-0.1433719078089518,-0.2633261877350362,1,1
-0.3728277282540838,-0.0468309976535503,1,2
-0.2229563284806793,-1.1352572126868763,0,0
0.0427472438331575,-0.2364298256137464,1,1
-0.1246537184328163,-1.452585878438967,0,0
-0.2590790763985108,0.0658297305496415,1,2
-0.0437050379309678,0.1182048348909444,1,2
-0.3959374412693316,-0.9338277345587268,0,0
-0.2284668427943902,-2.294102810734233,0,0
-0.5574284815890899,-0.4091101695829745,1,1
-0.452022843197543,-1.5685580942478232,0,0
-0.3167669255561758,0.6394057621382806,2,2
-0.3663952039923648,-0.5206949269989402,1,1
-0.2504589247692281,-1.543978264339971,0,0
-0.3042888731655943,-0.0197165649234429,1,2
-0.5219091883095867,0.1443723579109969,1,2
0.0275266858046532,0.5197242861316129,2,2
-0.2112326147338635,0.151490391856518,1,2
-0.1022271939438432,-0.2028151061210665,1,1
-0.5547020752738692,-0.6587284018758087,1,1
-0.4909127637089898,-2.447926452742694,0,0
-0.1752581050620519,-0.513234653043033,1,1
-0.2800570110528323,0.1680052774113168,1,2
-0.0671062691009413,0.2877847241253368,1,2
-0.2921306797402901,-0.7221650343311601,1,1
-0.2295517327418175,-1.468276465797342,0,0
-0.1827665311600111,0.0932248548131589,1,2
-0.3458169493067679,-1.0715420907483868,0,0
0.0056763234873781,0.4464320113443005,2,2
-0.2527611192947404,-0.7445360050727455,1,1
-0.1249338689565082,0.6966757866027852,2,2
-0.4184373990945501,-0.7580661202283063,1,1
-0.2931958828451453,-0.8202459369684431,0,1
-0.1504138903990635,-0.7094690488762228,1,1
-0.1949604485991488,0.4974907801458947,2,2
-0.2639754144232337,-1.1047417475439294,0,0
-0.2432278035862721,0.2457841857071675,1,2
-0.5000259060106481,0.679577337404782,2,2
-0.2470105484232269,-1.975207192265297,0,0
-0.2945315769588733,0.4003079296092652,1,2
-0.1883145526167684,-0.6897053590796964,1,1
