PC1,PC2,Cluster,State
0.038371723453709684,0.3753035645964832,"(np.int64(0), np.int64(1))",Warning
0.04028648351705129,0.5944217094454249,"(np.int64(1), np.int64(1))",Dangerous
0.016587043869372278,0.6648031425655873,"(np.int64(1), np.int64(0))",Dangerous
0.03993738073116766,0.23407356766980236,"(np.int64(0), np.int64(1))",Warning
0.03555174961807234,0.6194926505249735,"(np.int64(1), np.int64(1))",Dangerous
0.06216227560971062,0.7085816337204708,"(np.int64(1), np.int64(0))",Dangerous
0.045354329676829105,0.44264177798877574,"(np.int64(0), np.int64(0))",Normal
0.015787071631955085,0.5401213515832284,"(np.int64(1), np.int64(1))",Dangerous
0.05542196378773685,0.48345275548571515,"(np.int64(0), np.int64(0))",Normal
0.03317942854678037,0.4401470518624712,"(np.int64(0), np.int64(0))",Normal
0.02957220720037297,0.47590986042301064,"(np.int64(0), np.int64(0))",Normal
0.05179570517174965,0.4472878218957719,"(np.int64(0), np.int64(0))",Normal
0.051435809242347565,0.8221887767694827,"(np.int64(1), np.int64(0))",Dangerous
0.05480915556966805,0.5463715333602536,"(np.int64(1), np.int64(1))",Dangerous
0.028955688496364117,0.5058251006704623,"(np.int64(0), np.int64(0))",Normal
0.042931079439860076,0.4528415235855202,"(np.int64(0), np.int64(0))",Normal
0.050763295470339254,0.367953573954836,"(np.int64(0), np.int64(1))",Warning
0.06070774649031476,0.563236573855976,"(np.int64(1), np.int64(1))",Dangerous
0.04061715330524403,0.5116224969580554,"(np.int64(0), np.int64(0))",Normal
0.04405814171171443,0.8553757371137689,"(np.int64(1), np.int64(0))",Dangerous
0.028238590505065678,0.4223846522919458,"(np.int64(0), np.int64(1))",Warning
0.02772247451703566,0.7059286405269344,"(np.int64(1), np.int64(0))",Dangerous
0.05936671358676529,0.43722398365072823,"(np.int64(0), np.int64(0))",Normal
0.06240232845865776,0.7296071188735478,"(np.int64(1), np.int64(0))",Dangerous
0.02921066301250906,0.910177814186247,"(np.int64(1), np.int64(0))",Dangerous
0.05713876427057178,0.4333927145806982,"(np.int64(0), np.int64(0))",Normal
0.0582387371586857,0.6437929442199769,"(np.int64(1), np.int64(1))",Dangerous
0.03879655688327823,0.6024911759942788,"(np.int64(1), np.int64(1))",Dangerous
0.05604926891616743,0.4283257439065066,"(np.int64(0), np.int64(0))",Normal
0.07293392110111097,0.7002144786118452,"(np.int64(1), np.int64(0))",Dangerous
0.04382148079911927,0.5786958130525431,"(np.int64(1), np.int64(1))",Dangerous
0.06944101995598562,0.894820832184221,"(np.int64(1), np.int64(0))",Dangerous
0.0,0.36856691997169244,"(np.int64(0), np.int64(1))",Warning
0.054122058040829056,0.8249319675949166,"(np.int64(1), np.int64(0))",Dangerous
0.05031845296611995,0.8305817248290046,"(np.int64(1), np.int64(0))",Dangerous
0.04667629491388529,0.6759381608214446,"(np.int64(1), np.int64(0))",Dangerous
0.04272057632948208,0.4184555016111735,"(np.int64(0), np.int64(1))",Warning
0.010430334683026316,0.43948330883795445,"(np.int64(0), np.int64(0))",Normal
0.040375152534238415,0.7392498180179294,"(np.int64(1), np.int64(0))",Dangerous
0.05331192648551277,0.6207238947593554,"(np.int64(1), np.int64(1))",Dangerous
0.05978579497690485,0.3819861697453285,"(np.int64(0), np.int64(1))",Warning
0.02112251060609069,0.20130055727004809,"(np.int64(0), np.int64(1))",Warning
0.028265920956871242,0.500287700691983,"(np.int64(0), np.int64(0))",Normal
0.028650733506155317,0.5502077307750667,"(np.int64(1), np.int64(1))",Dangerous
0.05383265933349453,0.44005155999714984,"(np.int64(0), np.int64(0))",Normal
0.04713047035762977,0.6737147666454312,"(np.int64(1), np.int64(0))",Dangerous
0.03497215329470707,0.37664098767032406,"(np.int64(0), np.int64(1))",Warning
0.06044425685580097,0.6034382451001346,"(np.int64(1), np.int64(1))",Dangerous
0.048711712575914626,0.3698796944328535,"(np.int64(0), np.int64(1))",Warning
0.06007688427023266,0.6540531722791991,"(np.int64(1), np.int64(1))",Dangerous
0.03622455246480474,0.47066757582809526,"(np.int64(0), np.int64(0))",Normal
0.032147952200262925,0.6059370195360423,"(np.int64(1), np.int64(1))",Dangerous
0.04384654455820254,0.3840278801331246,"(np.int64(0), np.int64(1))",Warning
0.020676123891608993,0.7173373601080548,"(np.int64(1), np.int64(0))",Dangerous
