PC1,PC2
-0.16756459414536978,-2.2427115975406022
-0.239891603956561,-1.1843565383230112
-0.14337190780895187,-0.2633261877350362
0.024034831097438834,1.822825435716076
-0.3728277282540838,-0.04683099765355035
-0.2229563284806793,-1.1352572126868765
0.04274724383315751,-0.2364298256137464
-0.1246537184328163,-1.452585878438967
-0.2590790763985108,0.06582973054964153
-0.04370503793096786,0.11820483489094448
-0.39593744126933167,-0.9338277345587269
-0.3387106788906674,0.8378378390973554
-0.22846684279439025,-2.294102810734233
-0.5574284815890899,-0.4091101695829745
-0.45202284319754304,-1.5685580942478232
-0.3167669255561758,0.6394057621382806
-0.36639520399236486,-0.5206949269989402
-0.2504589247692281,-1.543978264339971
-0.30428887316559433,-0.019716564923442932
-0.5219091883095867,0.14437235791099695
0.027526685804653273,0.5197242861316129
-0.21123261473386354,0.15149039185651803
-0.10222719394384323,-0.20281510612106657
-0.5547020752738692,-0.6587284018758087
-0.49091276370898984,-2.447926452742694
-0.17525810506205197,-0.513234653043033
-0.28005701105283237,0.16800527741131688
-0.06710626910094135,0.2877847241253368
-0.2921306797402901,-0.7221650343311601
-0.2682041116417347,0.813051122929159
-0.22955173274181753,-1.468276465797342
0.0673908595471109,0.7929214511669055
-0.18276653116001115,0.09322485481315891
-0.34581694930676793,-1.0715420907483868
0.00567632348737814,0.44643201134430055
-0.25276111929474043,-0.7445360050727455
-0.1249338689565082,0.6966757866027852
-0.5389881094219888,1.220491206625585
-0.41843739909455013,-0.7580661202283063
-0.2931958828451453,-0.8202459369684431
-0.1504138903990635,-0.7094690488762228
-0.19496044859914882,0.4974907801458947
-0.2639754144232337,-1.1047417475439294
-0.24322780358627213,0.24578418570716756
-0.5000259060106481,0.679577337404782
-0.24701054842322692,-1.975207192265297
-0.29453157695887333,0.4003079296092652
-0.006190051557597172,0.9494043189358348
-0.1883145526167684,-0.6897053590796964
-0.5086941005171388,-0.08889390098559564
-0.079225503507659,-0.4381685294440662
-0.3202371446223181,-0.7050815039090351
-0.3593236213725328,-0.48465886186722923
-0.11851826086096452,-0.6610696530419916
-0.12241795609066856,1.6496174071583127
-0.08586565997927183,-0.050371155262163285
-0.36600398325670574,-0.30027747354599854
-0.2145719693238343,-0.6268396345160666
-0.1297050592067502,-1.1500431212733413
-0.021950775158437016,0.05357584817064285
